num_secrets,true_label,guess_label
240,0,0
240,1,1
240,0,1
240,0,0
240,0,1
240,0,1
240,0,0
240,0,0
240,0,0
240,0,0
240,0,0
240,0,0
240,0,0
240,0,0
240,0,0
240,0,0
240,0,1
240,0,1
240,1,0
240,1,1
240,0,1
240,0,0
240,1,0
240,0,0
240,0,1
240,0,0
240,0,0
240,1,1
240,0,1
240,1,1
240,0,0
240,0,1
240,0,0
240,0,1
240,1,1
240,0,0
240,0,1
240,1,1
240,0,1
240,0,1
240,0,0
240,0,0
240,0,0
240,0,1
240,1,1
240,1,1
240,0,0
240,0,1
240,0,0
240,0,0
240,0,0
240,1,1
240,0,0
240,0,1
240,0,0
240,0,0
240,0,0
240,1,1
240,0,0
240,0,1
240,0,0
240,0,0
240,0,0
240,0,0
240,0,1
240,1,1
240,0,1
240,0,0
240,0,1
240,0,1
240,0,1
240,0,1
240,0,0
240,0,1
240,0,1
240,0,1
240,0,0
240,0,1
240,1,1
240,0,0
240,0,0
240,0,0
240,0,1
240,0,1
240,1,1
240,0,0
240,0,1
240,0,0
240,0,1
240,0,1
240,0,0
240,0,0
240,0,0
240,0,1
240,0,1
240,1,1
240,0,0
240,0,0
240,0,0
240,0,1
240,0,1
240,0,0
240,1,1
240,0,1
240,0,1
240,0,1
240,0,0
240,0,1
240,0,0
240,0,0
240,0,0
240,0,0
240,1,1
240,1,0
240,0,0
240,0,0
240,0,0
240,0,0
240,0,0
240,0,0
240,1,1
240,1,1
240,0,0
240,0,0
240,1,1
240,1,1
240,0,1
240,0,1
240,1,1
240,0,0
240,0,0
240,0,0
240,0,1
240,1,1
240,0,1
240,0,1
240,0,0
240,0,0
240,1,1
240,0,1
240,0,0
240,0,0
240,0,0
240,0,0
240,0,0
240,0,0
240,0,0
240,0,0
240,0,0
240,0,0
240,0,0
240,0,0
240,0,0
240,0,0
240,0,0
240,0,0
240,0,0
240,0,0
240,0,0
240,0,0
240,0,0
240,0,0
240,0,1
240,1,1
240,0,0
240,0,0
240,0,0
240,0,0
240,0,1
240,1,1
240,0,0
240,0,0
240,0,1
240,0,0
240,0,1
240,0,0
240,0,0
240,0,0
240,1,1
240,0,1
240,0,1
240,0,0
240,0,1
240,0,0
240,1,1
240,0,1
240,0,1
240,0,1
240,0,1
240,0,0
240,0,0
240,0,0
240,0,1
240,0,0
240,1,1
240,0,1
240,0,1
240,0,1
240,0,0
240,0,0
240,0,0
240,0,0
240,0,0
240,0,0
240,0,0
240,0,0
240,0,0
240,0,0
240,1,0
240,0,0
240,0,1
240,1,1
240,0,0
240,0,1
240,0,0
240,0,0
240,0,0
240,0,0
240,0,0
240,0,1
240,0,0
240,0,0
240,0,1
240,0,0
240,0,1
240,1,1
240,0,1
240,0,0
240,0,0
240,0,0
240,0,0
240,0,0
240,0,1
240,0,0
240,0,1
240,0,0
240,0,1
240,0,1
240,0,1
240,1,1
240,0,1
240,0,1
240,0,0
240,1,1
240,0,0
240,0,0
240,0,1
240,0,0
240,0,1
240,0,0
240,1,1
240,0,0
240,0,0
240,0,0
240,0,0
240,0,0
240,0,1
240,0,0
240,0,0
240,0,0
240,0,0
240,0,1
240,0,0
240,1,1
240,0,0
240,0,0
240,0,0
240,0,0
240,0,0
240,0,1
240,0,0
240,0,0
240,1,0
240,0,0
240,0,0
240,0,0
240,0,0
240,0,1
240,1,1
240,0,0
240,0,0
240,0,0
240,0,0
240,1,1
240,0,0
240,0,0
240,0,0
240,0,0
240,0,1
240,0,1
240,0,0
240,0,0
240,0,0
240,0,0
240,0,0
240,0,0
240,0,0
240,0,1
240,0,1
240,0,1
240,0,0
240,1,1
240,0,1
240,0,0
240,0,0
240,0,0
240,0,0
240,0,0
240,0,0
240,0,0
240,0,0
240,0,0
240,0,1
240,1,1
240,0,1
240,0,0
240,0,0
240,0,0
240,0,0
240,0,0
240,0,0
240,0,0
240,0,0
240,0,0
240,0,0
240,0,0
240,0,0
240,0,0
240,1,1
240,0,1
240,0,0
240,0,0
240,0,0
240,0,1
240,0,1
240,0,0
240,0,0
240,1,0
240,0,0
240,1,1
240,0,1
240,0,0
240,0,0
240,1,1
240,0,0
240,0,0
240,0,1
240,0,0
240,0,0
240,0,0
240,0,0
240,0,1
240,0,1
240,0,0
240,1,1
240,0,0
240,0,1
240,0,1
240,0,1
240,0,1
240,1,1
240,0,0
240,0,0
240,0,1
240,0,0
240,0,1
240,0,1
240,0,1
240,1,1
240,0,0
240,0,0
240,0,0
240,0,0
240,0,0
240,0,0
240,0,0
240,0,0
240,0,0
240,0,0
240,0,0
240,0,0
240,1,1
240,0,0
240,0,0
240,0,0
240,0,0
240,0,0
240,0,0
240,0,0
240,0,0
240,0,0
240,0,0
240,0,0
240,0,0
240,1,1
240,0,1
240,0,0
240,0,0
240,0,0
240,1,1
240,0,1
240,1,1
240,0,0
240,0,1
240,0,0
240,0,0
240,0,0
240,0,0
240,1,1
240,0,1
240,0,1
240,0,0
240,0,0
240,0,0
240,0,0
240,0,0
240,0,0
240,0,0
240,0,1
240,0,1
240,0,0
240,0,0
240,0,0
240,0,1
240,0,1
240,0,0
240,0,1
240,1,1
240,0,1
240,0,0
240,0,0
240,0,0
240,0,0
240,0,0
240,0,0
240,0,1
240,0,0
240,1,1
240,0,1
240,0,0
240,0,0
240,1,1
240,0,1
240,0,1
240,0,0
240,0,0
240,0,1
240,0,0
240,0,0
240,0,0
240,0,0
240,0,0
240,0,0
240,0,0
240,0,1
240,0,0
240,0,0
240,0,0
240,0,0
240,0,0
240,0,0
240,0,0
240,0,1
240,0,1
240,0,0
240,0,0
240,1,1
240,0,1
240,0,0
240,0,0
240,0,0
240,0,0
240,0,0
240,0,0
240,0,1
240,0,1
240,0,0
240,0,0
240,0,0
240,1,0
Total attack time: 1327.5773839950562
220,0,0
220,0,0
220,0,0
220,0,0
220,0,0
220,0,0
220,1,1
220,1,1
220,0,0
220,0,0
220,0,0
220,0,0
220,0,1
220,0,1
220,0,0
220,1,1
220,0,0
220,0,0
220,0,0
220,0,0
220,0,0
220,0,0
220,0,0
220,0,0
220,0,0
220,1,1
220,0,0
220,0,0
220,0,0
220,0,0
220,0,0
220,0,0
220,0,0
220,0,0
220,0,0
220,0,0
220,0,0
220,0,0
220,0,0
220,1,1
220,1,0
220,0,0
220,0,0
220,0,0
220,0,0
220,0,0
220,0,0
220,1,1
220,0,0
220,0,0
220,0,0
220,0,0
220,0,0
220,0,0
220,0,1
220,1,1
220,0,1
220,0,1
220,0,0
220,0,0
220,0,0
220,0,0
220,1,1
220,0,0
220,0,0
220,0,0
220,0,0
220,1,1
220,1,1
220,0,1
220,0,0
220,0,1
220,1,1
220,0,1
220,0,0
220,0,0
220,1,1
220,0,0
220,0,0
220,0,0
220,0,0
220,0,1
220,0,0
220,0,0
220,0,0
220,0,0
220,0,0
220,0,0
220,0,0
220,0,1
220,1,1
220,0,0
220,0,0
220,0,0
220,0,1
220,0,1
220,1,1
220,0,1
220,0,0
220,0,0
220,1,1
220,0,0
220,0,0
220,0,0
220,0,0
220,0,0
220,0,1
220,0,0
220,0,0
220,0,1
220,0,0
220,0,0
220,0,0
220,1,1
220,0,0
220,0,0
220,1,1
220,0,1
220,1,1
220,1,1
220,0,0
220,0,0
220,0,0
220,0,0
220,0,0
220,0,1
220,0,0
220,1,1
220,1,1
220,0,0
220,0,0
220,1,1
220,0,0
220,0,0
220,0,0
220,0,0
220,0,0
220,0,0
220,0,1
220,0,0
220,1,0
220,0,0
220,0,0
220,0,1
220,0,0
220,0,0
220,0,0
220,0,1
220,0,0
220,0,0
220,0,0
220,0,0
220,0,0
220,0,0
220,0,0
220,0,0
220,0,0
220,0,0
220,1,1
220,0,0
220,0,1
220,0,0
220,0,0
220,0,0
220,1,1
220,1,1
220,0,0
220,0,0
220,0,0
220,0,0
220,0,0
220,0,0
220,0,0
220,1,1
220,1,1
220,0,0
220,0,0
220,0,1
220,0,1
220,0,1
220,0,0
220,0,0
220,0,0
220,0,0
220,0,0
220,0,0
220,0,0
220,0,0
220,0,0
220,0,0
220,0,0
220,0,0
220,0,1
220,0,1
220,0,0
220,0,0
220,0,0
220,0,0
220,0,0
220,0,0
220,0,1
220,0,0
220,0,0
220,0,0
220,0,0
220,0,0
220,0,0
220,1,1
220,0,0
220,0,0
220,0,0
220,0,1
220,0,1
220,1,1
220,0,0
220,1,1
220,0,1
220,1,1
220,1,0
220,0,0
220,0,0
220,0,1
220,0,0
220,0,0
220,1,1
220,0,0
220,0,0
220,0,0
220,1,1
220,0,1
220,0,1
220,0,0
220,0,0
220,0,0
220,1,1
220,0,0
220,0,0
220,0,1
220,0,0
220,0,1
220,0,0
220,0,0
220,0,1
220,0,0
220,0,0
220,0,0
220,0,0
220,0,0
220,0,0
220,0,0
220,0,0
220,0,0
220,0,0
220,0,0
220,0,1
220,0,0
220,0,0
220,0,0
220,0,0
220,1,1
220,1,0
220,0,0
220,0,0
220,0,1
220,0,1
220,0,1
220,0,0
220,0,1
220,1,1
220,0,1
220,0,0
220,0,1
220,0,0
220,0,1
220,1,1
220,0,0
220,0,1
220,0,0
220,0,0
220,0,0
220,1,1
220,0,0
220,0,0
220,0,0
220,0,0
220,0,0
220,0,0
220,0,0
220,0,0
220,0,0
220,0,0
220,0,0
220,0,1
220,0,1
220,0,0
220,0,1
220,0,1
220,0,0
220,0,1
220,0,0
220,0,0
220,0,0
220,0,0
220,0,1
220,0,0
220,0,0
220,0,0
220,0,0
220,0,1
220,0,0
220,0,1
220,0,1
220,0,0
220,0,0
220,0,0
220,0,0
220,1,1
220,0,0
220,0,0
220,0,0
220,0,0
220,1,1
220,0,0
220,0,0
220,0,0
220,0,0
220,0,1
220,0,0
220,0,0
220,0,1
220,0,0
220,0,0
220,0,0
220,0,0
220,0,0
220,0,0
220,0,1
220,0,0
220,0,0
220,1,1
220,0,1
220,0,1
220,0,0
220,0,0
220,0,0
220,0,0
220,0,0
220,1,1
220,0,0
220,0,0
220,0,0
220,0,1
220,0,0
220,1,1
220,0,0
220,0,0
220,0,0
220,0,0
220,0,0
220,0,0
220,0,0
220,0,0
220,0,0
220,0,0
220,0,0
220,0,0
220,0,0
220,0,0
220,0,0
220,0,0
220,0,1
220,0,1
220,0,1
220,0,0
220,0,1
220,0,0
220,0,0
220,0,0
220,0,0
220,0,0
220,1,1
220,0,0
220,1,1
220,0,1
220,0,1
220,0,0
220,0,0
220,0,0
220,0,0
220,0,0
220,0,1
220,1,1
220,1,1
220,0,0
220,0,0
220,0,0
220,0,0
220,0,0
220,0,0
220,0,0
220,0,0
220,0,0
220,0,1
220,0,0
220,0,0
220,0,0
220,0,0
220,1,1
220,0,0
220,0,0
220,0,0
220,0,1
220,0,0
220,1,1
220,0,0
220,1,1
220,0,0
220,0,0
220,0,0
220,0,0
220,0,0
220,0,0
220,0,0
220,0,0
220,0,0
220,0,0
220,0,1
220,0,0
220,0,0
220,0,1
220,1,1
220,0,1
220,0,1
220,0,0
220,0,1
220,0,1
220,0,0
220,0,1
Total attack time: 1724.635380744934
200,0,0
200,0,0
200,0,0
200,0,0
200,0,0
200,1,0
200,0,0
200,0,0
200,0,0
200,0,0
200,0,0
200,0,0
200,0,0
200,0,0
200,0,0
200,1,1
200,0,0
200,1,1
200,0,0
200,0,0
200,0,0
200,1,0
200,0,0
200,0,0
200,0,0
200,0,0
200,0,0
200,1,1
200,0,0
200,1,1
200,0,0
200,0,0
200,0,0
200,0,0
200,1,0
200,0,0
200,0,0
200,1,1
200,0,0
200,0,0
200,0,0
200,0,0
200,1,1
200,0,0
200,0,1
200,1,0
200,0,0
200,0,0
200,1,0
200,0,0
200,0,0
200,0,0
200,0,0
200,0,0
200,0,0
200,0,0
200,0,0
200,0,0
200,0,0
200,0,0
200,0,0
200,0,0
200,0,0
200,1,0
200,0,0
200,0,0
200,0,0
200,0,0
200,0,0
200,0,0
200,1,1
200,0,0
200,0,0
200,0,0
200,0,0
200,0,0
200,0,0
200,0,0
200,0,0
200,0,0
200,0,0
