true_label,num_secrets,b_no,b_guess,b_yes,setup_time,per_guess_time
1,20,14,6,0,0.858060837,6.130839932
1,20,14,3,0,0.858060837,6.130839932
1,20,14,3,0,0.858060837,6.130839932
1,20,13,0,0,0.858060837,6.130839932
1,20,6,1,0,0.858060837,6.130839932
1,20,18,0,2,0.858060837,6.130839932
1,20,8,0,2,0.858060837,6.130839932
1,20,14,2,0,0.858060837,6.130839932
1,20,6,0,0,0.858060837,6.130839932
1,20,7,0,1,0.858060837,6.130839932
1,20,12,2,0,1.905985594,0.919808972
1,20,12,2,0,1.905985594,0.919808972
1,20,12,4,0,1.905985594,0.919808972
1,20,14,2,0,1.905985594,0.919808972
1,20,12,2,0,1.905985594,0.919808972
1,20,14,2,0,1.905985594,0.919808972
1,20,12,5,0,1.905985594,0.919808972
1,20,12,3,0,1.905985594,0.919808972
1,20,18,0,6,1.905985594,0.919808972
1,20,12,2,0,1.905985594,0.919808972
1,20,9,4,0,0.705920458,0.882649124
1,20,21,0,0,0.705920458,0.882649124
1,20,17,4,0,0.705920458,0.882649124
1,20,9,4,0,0.705920458,0.882649124
1,20,9,0,1,0.705920458,0.882649124
1,20,19,0,2,0.705920458,0.882649124
1,20,19,0,2,0.705920458,0.882649124
1,20,9,4,0,0.705920458,0.882649124
1,20,21,1,0,0.705920458,0.882649124
1,20,9,2,0,0.705920458,0.882649124
1,20,15,2,0,0.720570803,4.671146655
1,20,9,2,0,0.720570803,4.671146655
1,20,9,1,0,0.720570803,4.671146655
1,20,12,0,3,0.720570803,4.671146655
1,20,16,0,2,0.720570803,4.671146655
1,20,16,0,2,0.720570803,4.671146655
1,20,10,0,1,0.720570803,4.671146655
1,20,11,0,2,0.720570803,4.671146655
1,20,15,4,0,0.720570803,4.671146655
1,20,12,2,0,0.720570803,4.671146655
1,20,22,2,0,0.754851818,6.123097277
1,20,12,5,0,0.754851818,6.123097277
1,20,13,0,1,0.754851818,6.123097277
1,20,12,0,0,0.754851818,6.123097277
1,20,22,2,0,0.754851818,6.123097277
1,20,15,4,0,0.754851818,6.123097277
1,20,22,2,0,0.754851818,6.123097277
1,20,15,4,0,0.754851818,6.123097277
1,20,16,0,2,0.754851818,6.123097277
1,20,23,0,1,0.754851818,6.123097277
1,20,19,0,1,0.695504904,6.849895406
1,20,12,0,1,0.695504904,6.849895406
1,20,11,1,0,0.695504904,6.849895406
1,20,18,0,0,0.695504904,6.849895406
1,20,21,0,0,0.695504904,6.849895406
1,20,18,1,0,0.695504904,6.849895406
1,20,21,1,0,0.695504904,6.849895406
1,20,12,0,1,0.695504904,6.849895406
1,20,21,0,3,0.695504904,6.849895406
1,20,19,0,1,0.695504904,6.849895406
1,20,16,2,0,1.896893263,7.408584678
1,20,16,4,0,1.896893263,7.408584678
1,20,11,3,0,1.896893263,7.408584678
1,20,11,0,1,1.896893263,7.408584678
1,20,11,3,0,1.896893263,7.408584678
1,20,11,0,0,1.896893263,7.408584678
1,20,11,3,0,1.896893263,7.408584678
1,20,18,0,8,1.896893263,7.408584678
1,20,16,6,0,1.896893263,7.408584678
1,20,23,0,7,1.896893263,7.408584678
1,20,13,1,0,2.071643829,7.605092418
1,20,13,8,0,2.071643829,7.605092418
1,20,13,2,0,2.071643829,7.605092418
1,20,15,0,1,2.071643829,7.605092418
1,20,14,0,0,2.071643829,7.605092418
1,20,13,0,0,2.071643829,7.605092418
1,20,15,0,1,2.071643829,7.605092418
1,20,13,0,0,2.071643829,7.605092418
1,20,13,3,0,2.071643829,7.605092418
1,20,19,5,0,2.071643829,7.605092418
1,20,8,0,1,0.624230623,5.622667539
1,20,15,0,4,0.624230623,5.622667539
1,20,16,1,0,0.624230623,5.622667539
1,20,9,0,2,0.624230623,5.622667539
1,20,21,0,4,0.624230623,5.622667539
1,20,17,2,0,0.624230623,5.622667539
1,20,11,0,4,0.624230623,5.622667539
1,20,15,1,0,0.624230623,5.622667539
1,20,11,0,4,0.624230623,5.622667539
1,20,11,0,4,0.624230623,5.622667539
1,20,14,5,0,1.896635056,6.786977851
1,20,19,8,0,1.896635056,6.786977851
1,20,19,7,0,1.896635056,6.786977851
1,20,19,8,0,1.896635056,6.786977851
1,20,13,1,0,1.896635056,6.786977851
1,20,16,0,1,1.896635056,6.786977851
1,20,18,0,3,1.896635056,6.786977851
1,20,19,9,0,1.896635056,6.786977851
1,20,15,4,0,1.896635056,6.786977851
1,20,19,7,0,1.896635056,6.786977851
