true_label,num_secrets,b_no,b_guess,b_yes,setup_time,per_guess_time
1,20,14,0,2,0.77482152,3.791566205
1,20,14,0,2,0.77482152,3.791566205
1,20,12,1,0,0.77482152,3.791566205
1,20,11,3,0,0.77482152,3.791566205
1,20,14,0,2,0.77482152,3.791566205
1,20,14,0,2,0.77482152,3.791566205
1,20,15,0,3,0.77482152,3.791566205
1,20,13,0,1,0.77482152,3.791566205
1,20,11,0,0,0.77482152,3.791566205
1,20,11,4,0,0.77482152,3.791566205
1,20,19,0,7,0.77482152,3.791566205
1,20,13,0,2,0.77482152,3.791566205
1,20,12,0,0,0.77482152,3.791566205
1,20,15,0,3,0.77482152,3.791566205
1,20,13,0,1,0.77482152,3.791566205
1,20,18,0,4,0.615667105,3.989039636
1,20,16,2,0,0.615667105,3.989039636
1,20,9,0,1,0.615667105,3.989039636
1,20,16,1,0,0.615667105,3.989039636
1,20,14,1,0,0.615667105,3.989039636
1,20,9,0,1,0.615667105,3.989039636
1,20,8,1,0,0.615667105,3.989039636
1,20,8,0,0,0.615667105,3.989039636
1,20,15,0,1,0.615667105,3.989039636
1,20,14,3,0,0.615667105,3.989039636
1,20,16,4,0,0.615667105,3.989039636
1,20,9,0,1,0.615667105,3.989039636
1,20,16,0,0,0.615667105,3.989039636
1,20,12,0,4,0.615667105,3.989039636
1,20,10,0,2,0.615667105,3.989039636
1,20,9,0,0,0.743539333,3.374321449
1,20,17,0,0,0.743539333,3.374321449
1,20,10,0,1,0.743539333,3.374321449
1,20,17,2,0,0.743539333,3.374321449
1,20,17,4,0,0.743539333,3.374321449
1,20,10,2,0,0.743539333,3.374321449
1,20,17,1,0,0.743539333,3.374321449
1,20,10,5,0,0.743539333,3.374321449
1,20,11,1,0,0.743539333,3.374321449
1,20,10,2,0,0.743539333,3.374321449
1,20,9,0,0,0.743539333,3.374321449
1,20,12,0,1,0.743539333,3.374321449
1,20,9,1,0,0.743539333,3.374321449
1,20,18,3,0,0.743539333,3.374321449
1,20,18,3,0,0.743539333,3.374321449
1,20,13,1,0,0.689424515,2.834441662
1,20,13,3,0,0.689424515,2.834441662
1,20,12,2,0,0.689424515,2.834441662
1,20,10,0,1,0.689424515,2.834441662
1,20,14,0,2,0.689424515,2.834441662
1,20,12,0,3,0.689424515,2.834441662
1,20,11,0,2,0.689424515,2.834441662
1,20,10,0,1,0.689424515,2.834441662
1,20,17,1,0,0.689424515,2.834441662
1,20,14,0,1,0.689424515,2.834441662
1,20,15,0,2,0.689424515,2.834441662
1,20,11,0,2,0.689424515,2.834441662
1,20,12,0,3,0.689424515,2.834441662
1,20,13,1,0,0.689424515,2.834441662
